Date,Price,Open,High,Low,Vol.,Change %
8/26/2018,22.3,22.8,23.0,21.7,37.68K,-2.62%
9/2/2018,22.6,22.1,22.6,21.5,29.69K,1.35%
9/9/2018,22.0,22.0,22.6,21.9,17.53K,-2.65%
9/16/2018,21.3,21.9,22.5,21.2,19.95K,-3.18%
9/23/2018,20.5,21.5,21.5,20.0,17.57K,-3.76%
9/30/2018,19.4,20.0,21.0,18.9,76.79K,-5.37%
10/7/2018,20.2,19.5,20.5,19.5,27.99K,4.12%
10/14/2018,20.1,20.0,20.5,19.8,12.89K,-0.50%
10/21/2018,19.5,19.8,20.2,19.5,6.76K,-2.99%
10/28/2018,22.0,20.9,23.0,20.0,84.06K,12.82%
11/4/2018,21.3,22.0,22.9,20.0,16.18K,-3.18%
11/11/2018,21.8,20.6,22.2,20.5,8.00K,2.35%
11/18/2018,20.0,21.9,21.9,20.0,12.27K,-8.26%
11/25/2018,21.7,21.0,22.2,20.0,20.85K,8.50%
12/2/2018,21.4,21.8,21.8,21.0,7.96K,-1.38%
12/9/2018,21.3,21.3,21.4,20.9,16.27K,-0.47%
12/16/2018,21.5,21.3,22.0,20.9,12.62K,0.94%
12/23/2018,23.0,21.5,23.5,21.1,52.40K,6.98%
12/30/2018,24.6,22.5,27.5,22.5,48.13K,6.96%
1/6/2019,23.3,25.0,25.5,22.0,43.88K,-5.28%
1/13/2019,23.0,24.0,24.0,23.0,10.17K,-1.29%
1/20/2019,23.0,23.0,24.9,22.0,24.84K,0.00%
1/27/2019,23.0,23.0,24.0,22.4,6.19K,0.00%
2/3/2019,22.9,22.6,23.0,22.0,14.38K,-0.43%
2/10/2019,22.1,22.6,23.4,22.0,4.47K,-3.49%
2/17/2019,21.0,22.1,23.0,21.0,7.68K,-4.98%
2/24/2019,22.0,22.0,23.4,21.4,14.24K,4.76%
3/3/2019,22.0,22.0,23.2,21.6,18.70K,0.00%
3/10/2019,22.3,22.3,22.7,20.5,53.67K,1.36%
3/17/2019,22.8,22.6,23.8,22.0,45.36K,2.24%
3/24/2019,21.5,23.7,23.7,21.2,62.02K,-5.70%
3/31/2019,23.4,21.2,23.5,21.2,29.91K,8.84%
4/7/2019,22.5,23.2,23.3,22.2,1.28K,-3.85%
4/14/2019,23.1,23.1,23.5,23.0,7.74K,2.67%
4/21/2019,22.7,22.0,23.0,21.5,7.91K,-1.73%
4/28/2019,22.7,22.9,23.0,22.0,4.94K,0.00%
5/5/2019,20.8,22.0,22.7,20.2,10.79K,-8.37%
5/12/2019,23.5,21.8,23.8,19.6,146.66K,12.98%
5/19/2019,23.0,23.9,24.0,22.8,15.02K,-2.13%
5/26/2019,23.8,23.6,24.0,22.0,26.08K,3.48%
6/2/2019,23.3,23.0,23.4,22.0,5.36K,-2.10%
6/9/2019,24.0,23.4,24.0,22.7,12.71K,3.00%
6/16/2019,23.0,23.1,23.2,22.9,12.23K,-4.17%
6/23/2019,23.0,23.0,23.7,22.0,22.09K,0.00%
6/30/2019,23.8,23.0,24.0,22.3,67.57K,3.48%
7/7/2019,23.6,23.6,24.0,22.0,114.67K,-0.84%
7/14/2019,23.7,23.0,24.0,23.0,27.86K,0.42%
7/21/2019,28.4,23.9,28.9,23.0,224.88K,19.83%
7/28/2019,28.8,28.4,31.9,27.4,197.96K,1.41%
8/4/2019,31.1,27.5,31.5,27.4,57.44K,7.99%
8/11/2019,29.7,31.5,31.5,29.0,35.98K,-4.50%
8/18/2019,29.0,29.7,30.0,28.5,13.60K,-2.36%
